latitud,longitud,barrio,cantidad_entregas,segmento
-34.553761,-58.491571,SAAVEDRA,1,baja
-34.530062,-58.515947,,1,baja
-34.890638,-58.396182,,1,baja
-34.605312,-58.64391,,1,baja
-34.726748,-58.286294,,26,alta
-34.616493,-58.454939,CABALLITO,13,alta
-34.624118,-58.446682,CABALLITO,18,alta
-34.587406,-58.477073,PARQUE CHAS,1,baja
-34.641522,-58.537487,,1,baja
-34.512047,-58.528344,,1,baja
-34.624747,-58.536243,,2,baja
-34.750081,-58.587869,,3,baja
-34.472421,-58.518324,,3,baja
-34.619675,-58.378504,CONSTITUCION,1,baja
-34.500487,-58.498621,,1,baja
-34.934412,-57.935464,,14,alta
-34.580724,-58.413193,PALERMO,7,media
-34.721533,-58.38321,,1,baja
-34.79923,-58.239132,,1,baja
-34.584053,-58.477712,PARQUE CHAS,1,baja
-34.627226,-58.453466,FLORES,1,baja
-34.482207,-58.667013,,15,alta
-34.675646,-58.562614,,1,baja
-34.659296,-58.564594,,1,baja
-34.367011,-58.741234,,7,media
-34.682314,-58.406839,,11,alta
-34.528798,-58.738531,,2,baja
-34.562366,-58.442484,BELGRANO,2,baja
-34.621573,-58.393667,SAN CRISTOBAL,2,baja
-34.486901,-58.582303,,3,baja
-34.635694,-58.410112,PARQUE PATRICIOS,2,baja
-34.549601,-58.473102,SAAVEDRA,2,baja
-34.683445,-58.495609,,1,baja
-34.652658,-58.563471,,3,baja
-34.536587,-58.482883,,3,baja
-34.602808,-58.628891,,1,baja
-34.612984,-58.360928,PUERTO MADERO,2,baja
-34.635654,-58.359554,BOCA,1,baja
-34.618336,-58.40226,BALVANERA,13,alta
-34.602631,-58.489074,VILLA DEL PARQUE,1,baja
-34.539305,-58.465945,NUÑEZ,3,baja
-34.586608,-58.412549,PALERMO,1,baja
-34.56033,-58.47065,COGHLAN,1,baja
-34.641375,-58.504331,VILLA LURO,2,baja
-34.60432,-58.42627,ALMAGRO,2,baja
-34.656364,-58.609233,,1,baja
-34.598384,-58.421689,ALMAGRO,12,alta
-34.586941,-58.505307,VILLA PUEYRREDON,2,baja
-34.386814,-58.703581,,9,media
-34.616807,-58.561813,,2,baja
-34.69545,-58.62819,,2,baja
-34.601188,-58.428674,ALMAGRO,2,baja
-34.59394,-58.412667,RECOLETA,2,baja
-34.556913,-58.473153,COGHLAN,18,alta
-34.466561,-58.504152,,15,alta
-34.780641,-58.202363,,1,baja
-34.830852,-58.405995,,4,baja
-34.568275,-58.442822,PALERMO,1,baja
-34.50541,-58.54414,,3,baja
-34.704807,-58.299724,,1,baja
-34.914254,-57.980706,,1,baja
-34.625244,-58.454024,CABALLITO,1,baja
-34.776498,-58.327733,,2,baja
-34.653799,-58.533163,,1,baja
-34.744187,-58.312188,,3,baja
-34.61717,-58.375313,SAN TELMO,1,baja
-34.551103,-58.489594,SAAVEDRA,3,baja
-34.626484,-58.448783,CABALLITO,2,baja
-34.683217,-58.474236,VILLA LUGANO,1,baja
-34.609696,-58.426032,ALMAGRO,1,baja
-34.566738,-58.462453,BELGRANO,1,baja
-34.737068,-58.27027,,2,baja
-34.505819,-58.701669,,2,baja
-34.612356,-58.386472,MONSERRAT,2,baja
-34.616235,-58.477775,VILLA SANTA RITA,1,baja
-34.61818,-58.431513,CABALLITO,3,baja
-34.621358,-58.418831,BOEDO,20,alta
-34.552921,-58.463067,NUÑEZ,1,baja
-34.565281,-58.455754,BELGRANO,1,baja
-34.604828,-58.422905,ALMAGRO,2,baja
-34.611695,-58.809723,,50,alta
-34.509404,-58.477808,,2,baja
-34.590009,-58.585466,,2,baja
-34.585804,-58.595869,,1,baja
-34.578332,-58.430845,PALERMO,2,baja
-34.939781,-57.989913,,1,baja
-34.502914,-58.502775,,9,media
-34.52136,-58.68301,,2,baja
-34.742337,-58.260471,,1,baja
-34.632707,-58.57704,,2,baja
-34.621301,-58.436531,CABALLITO,3,baja
-34.609334,-58.502513,VILLA DEVOTO,9,media
-34.589295,-58.445522,CHACARITA,2,baja
-34.719151,-58.293496,,3,baja
-34.526288,-58.551447,,2,baja
-34.611717,-58.510835,VILLA DEVOTO,1,baja
-34.795843,-58.265482,,3,baja
-34.649129,-58.560925,,2,baja
-34.620653,-58.53423,,1,baja
-34.602433,-58.648361,,3,baja
-34.650689,-58.41309,NUEVA POMPEYA,9,media
-34.597962,-58.459242,PATERNAL,2,baja
-34.625329,-58.429616,CABALLITO,1,baja
-34.599435,-58.433864,VILLA CRESPO,2,baja
-34.615752,-58.41597,ALMAGRO,2,baja
-34.644062,-58.423149,NUEVA POMPEYA,1,baja
-34.60312,-58.387066,SAN NICOLAS,5,media
-34.6613,-58.56555,,3,baja
-34.62963,-58.633508,,2,baja
-34.808769,-58.22778,,1,baja
-34.599031,-58.381231,SAN NICOLAS,1,baja
-34.656378,-58.375353,BARRACAS,1,baja
-34.607087,-58.450088,CABALLITO,2,baja
-34.564807,-58.449773,BELGRANO,1,baja
-34.58701,-58.657207,,2,baja
-34.590701,-58.407408,RECOLETA,17,alta
-34.838385,-58.494649,,1,baja
-34.636977,-58.436083,PARQUE CHACABUCO,2,baja
-34.520972,-58.560809,,2,baja
-34.593964,-58.549408,,2,baja
-34.742989,-58.379393,,4,baja
-34.53248,-58.54067,,3,baja
-34.632353,-58.485509,VELEZ SARSFIELD,3,baja
-34.55233,-58.491004,SAAVEDRA,2,baja
-34.647875,-58.371962,BARRACAS,3,baja
-34.808771,-58.328974,,3,baja
-34.48315,-58.498325,,2,baja
-34.645139,-58.448837,FLORES,3,baja
-34.855649,-58.54837,,7,media
-34.589873,-58.448104,CHACARITA,2,baja
-34.712325,-58.330362,,1,baja
-34.627142,-58.384228,CONSTITUCION,2,baja
-34.585418,-58.497795,VILLA PUEYRREDON,1,baja
-34.476915,-58.77612,,2,baja
-34.623129,-58.569179,,3,baja
-34.449209,-58.639874,,1,baja
-34.589671,-58.495723,AGRONOMIA,2,baja
-34.633539,-58.494074,VELEZ SARSFIELD,2,baja
-34.556288,-58.459219,BELGRANO,9,media
-34.750065,-58.363055,,1,baja
-34.788143,-58.210175,,1,baja
-34.595141,-58.56552,,2,baja
-34.566908,-58.456503,BELGRANO,1,baja
-34.652403,-58.525848,LINIERS,2,baja
-34.688826,-58.552305,,2,baja
-34.696094,-58.46933,VILLA RIACHUELO,2,baja
-34.5081,-58.499866,,3,baja
-34.646346,-58.525784,LINIERS,2,baja
-34.780221,-58.392897,,2,baja
-34.397009,-58.714981,,5,media
-34.432403,-58.631751,,17,alta
-34.62887,-58.51934,VERSALLES,2,baja
-34.51256,-58.75174,,2,baja
-34.742735,-58.266903,,2,baja
-34.64523,-58.57491,,2,baja
-34.589783,-58.389383,RECOLETA,3,baja
-34.782403,-58.220627,,1,baja
-34.472648,-58.57244,,2,baja
-34.43706,-58.584226,,2,baja
-34.62442,-58.43609,CABALLITO,3,baja
-34.44211,-58.572203,,2,baja
-34.60488,-58.37101,SAN NICOLAS,2,baja
-34.468351,-58.617203,,1,baja
-34.734691,-58.396161,,20,alta
-34.58257,-58.427114,PALERMO,1,baja
-34.579528,-58.415098,PALERMO,2,baja
-34.818055,-58.33529,,2,baja
-34.743379,-58.432161,,1,baja
-34.746227,-58.336459,,17,alta
-34.69833,-58.516165,,2,baja
-34.594123,-58.432313,VILLA CRESPO,1,baja
-34.486577,-58.619998,,2,baja
-34.62433,-58.465462,FLORES,1,baja
-34.791217,-58.31375,,1,baja
-34.568689,-58.48865,VILLA URQUIZA,1,baja
-34.453503,-58.613831,,1,baja
-34.655178,-58.482913,MATADEROS,2,baja
-34.570126,-58.468095,BELGRANO,3,baja
-34.616518,-58.405943,BALVANERA,1,baja
-34.794821,-58.23638,,1,baja
-34.653025,-58.496184,MATADEROS,2,baja
-34.60068,-58.40745,BALVANERA,2,baja
-34.604299,-58.415976,ALMAGRO,3,baja
-34.506676,-58.508524,,1,baja
-34.724628,-58.419083,,1,baja
-34.65166,-58.52187,LINIERS,1,baja
-34.601225,-58.470109,PATERNAL,1,baja
-34.642802,-58.418696,NUEVA POMPEYA,2,baja
-34.855084,-58.378143,,1,baja
-34.565436,-58.470091,BELGRANO,2,baja
-34.58659,-58.607714,,2,baja
-34.617774,-58.40246,BALVANERA,1,baja
-34.472645,-58.521569,,1,baja
-34.65941,-58.69713,,2,baja
-34.568066,-58.696998,,1,baja
-34.691673,-58.335926,,1,baja
-34.495208,-58.661019,,2,baja
-34.545399,-58.462987,NUÑEZ,1,baja
-34.54992,-58.51322,,2,baja
-34.598686,-58.407149,BALVANERA,4,baja
-34.668102,-58.416085,,6,media
-34.563277,-58.481918,VILLA URQUIZA,1,baja
-34.539081,-58.466613,NUÑEZ,2,baja
-34.497412,-58.677541,,1,baja
-34.7384,-58.388937,,1,baja
-34.521865,-58.530907,,1,baja
-34.494758,-58.588078,,2,baja
-34.88978,-57.901286,,1,baja
-34.65514,-58.539493,,3,baja
-34.628721,-58.527192,VERSALLES,1,baja
-34.735884,-58.53121,,2,baja
-34.62282,-58.39637,SAN CRISTOBAL,3,baja
-34.774737,-58.189526,,2,baja
-34.69845,-58.52843,,2,baja
-34.429178,-58.594048,,6,media
-34.724807,-58.254578,,6,media
-34.614135,-58.415931,ALMAGRO,1,baja
-34.446684,-58.631354,,19,alta
-34.583013,-58.433109,PALERMO,2,baja
-34.64765,-58.50047,MATADEROS,1,baja
-34.49493,-58.503715,,9,media
-34.598458,-58.481987,VILLA DEL PARQUE,2,baja
-34.578126,-58.399646,PALERMO,2,baja
-34.616113,-58.494239,MONTE CASTRO,2,baja
-34.728203,-58.232499,,1,baja
-34.613203,-58.474797,VILLA GRAL. MITRE,1,baja
-34.633938,-58.543112,,4,baja
-34.615561,-58.463401,FLORES,1,baja
-34.665484,-58.506017,MATADEROS,3,baja
-34.58172,-58.51094,VILLA PUEYRREDON,1,baja
-34.632823,-58.489081,VELEZ SARSFIELD,1,baja
-34.579516,-58.450538,COLEGIALES,14,alta
-34.890129,-58.544392,,1,baja
-34.613463,-58.492835,VILLA SANTA RITA,1,baja
-34.831961,-58.190462,,3,baja
-34.597204,-58.403499,RECOLETA,2,baja
-34.658793,-58.618579,,2,baja
-34.490325,-58.7436,,2,baja
-34.503127,-58.534549,,2,baja
-34.493369,-58.63027,,4,baja
-34.6191,-58.46712,FLORES,1,baja
-34.581404,-58.447791,COLEGIALES,2,baja
-34.61658,-58.41229,BALVANERA,2,baja
-34.591116,-58.400666,RECOLETA,1,baja
-34.639715,-58.512675,LINIERS,1,baja
-34.63752,-58.40099,PARQUE PATRICIOS,4,baja
-34.759202,-58.357539,,2,baja
-34.616843,-58.446786,CABALLITO,1,baja
-34.651247,-58.585728,,3,baja
-34.57987,-58.485455,VILLA URQUIZA,2,baja
-34.628164,-58.455755,FLORES,2,baja
-34.603571,-58.381612,SAN NICOLAS,1,baja
-34.625206,-58.485662,FLORESTA,2,baja
-34.67448,-58.627938,,1,baja
-34.437768,-58.557992,,9,media
-34.795824,-58.232624,,17,alta
-34.865148,-57.909969,,1,baja
-34.499244,-58.490681,,2,baja
-34.594917,-58.390802,RECOLETA,1,baja
-34.567454,-58.457632,BELGRANO,2,baja
-34.61892,-58.43293,CABALLITO,2,baja
-34.559779,-58.455604,BELGRANO,3,baja
-34.776631,-58.381981,,1,baja
-34.749092,-58.625725,,3,baja
-34.731117,-58.381034,,2,baja
-34.61171,-58.476769,VILLA GRAL. MITRE,10,alta
-34.466148,-58.731007,,2,baja
-34.607491,-58.426543,ALMAGRO,1,baja
-34.572159,-58.480406,VILLA URQUIZA,1,baja
-34.550826,-58.541683,,2,baja
-34.666654,-58.502403,MATADEROS,2,baja
-34.509856,-58.725606,,3,baja
-34.614001,-58.563868,,4,baja
-34.550858,-58.451781,BELGRANO,10,alta
-34.423706,-58.693446,,2,baja
-34.642341,-58.452418,FLORES,1,baja
-34.594011,-58.397216,RECOLETA,2,baja
-34.664598,-58.537892,,1,baja
-34.768164,-58.396741,,2,baja
-34.563245,-58.466322,BELGRANO,1,baja
-34.622953,-58.631459,,2,baja
-34.626959,-58.459419,FLORES,1,baja
-34.599286,-58.424888,ALMAGRO,2,baja
-34.785872,-58.431852,,1,baja
-34.559667,-58.459208,BELGRANO,1,baja
-34.703129,-58.68795,,8,media
-34.756671,-58.409868,,1,baja
-34.584267,-58.417503,PALERMO,2,baja
-34.895623,-58.383712,,1,baja
-34.607248,-58.481031,VILLA DEL PARQUE,8,media
-34.592369,-58.376949,RETIRO,1,baja
-34.927623,-57.909285,,1,baja
-34.588986,-58.410102,PALERMO,2,baja
-34.490709,-58.518385,,2,baja
-34.601333,-58.425253,ALMAGRO,1,baja
-34.670125,-58.732186,,1,baja
-34.59965,-58.434397,VILLA CRESPO,3,baja
-34.637294,-58.399049,PARQUE PATRICIOS,2,baja
-34.628529,-58.46592,FLORES,2,baja
-34.928108,-57.938542,,1,baja
-34.563119,-58.52083,,2,baja
-34.627136,-58.582287,,2,baja
-34.627983,-58.438886,CABALLITO,2,baja
-34.790273,-58.352041,,4,baja
-34.456917,-58.651579,,19,alta
-34.813079,-58.307178,,1,baja
-34.638917,-58.476089,FLORESTA,1,baja
-34.641244,-58.552581,,15,alta
-34.757656,-58.39646,,1,baja
-34.522552,-58.745422,,2,baja
-34.569285,-58.470909,BELGRANO,2,baja
-34.555736,-58.469284,NUÑEZ,2,baja
-34.616122,-58.440121,CABALLITO,2,baja
-34.776198,-58.229601,,12,alta
-34.615492,-58.400732,BALVANERA,1,baja
-34.609354,-58.378082,MONSERRAT,1,baja
-34.641551,-58.427479,NUEVA POMPEYA,2,baja
-34.415349,-58.631257,,9,media
-34.725396,-58.389601,,1,baja
-34.602203,-58.429374,ALMAGRO,2,baja
-34.565423,-58.447801,BELGRANO,2,baja
-34.453664,-58.552851,,2,baja
-34.59385,-58.44383,VILLA CRESPO,1,baja
-34.466847,-58.546212,,2,baja
-34.597691,-58.385483,RETIRO,2,baja
-34.619878,-58.377462,CONSTITUCION,1,baja
-34.620619,-58.568174,,2,baja
-34.688639,-58.419839,,3,baja
-34.520175,-58.713165,,1,baja
-34.589969,-58.413176,PALERMO,2,baja
-34.540835,-58.465137,NUÑEZ,1,baja
-34.65308,-58.395413,BARRACAS,2,baja
-34.571305,-58.524075,,2,baja
-34.583141,-58.488251,VILLA URQUIZA,2,baja
-34.616253,-58.571528,,2,baja
-34.600058,-58.392659,SAN NICOLAS,2,baja
-34.691927,-58.490822,,2,baja
-34.637148,-58.607636,,2,baja
-34.543385,-58.552351,,2,baja
-34.461823,-58.533236,,6,media
-34.572593,-58.45544,COLEGIALES,2,baja
-34.713057,-58.259347,,1,baja
-34.630629,-58.526241,VERSALLES,3,baja
-34.503422,-58.536085,,3,baja
-34.573557,-58.44875,COLEGIALES,2,baja
-34.661829,-58.525533,,2,baja
-34.610954,-58.456836,CABALLITO,1,baja
-34.814664,-58.416427,,1,baja
-34.578726,-58.594132,,1,baja
-34.66501,-58.585492,,1,baja
-34.419216,-58.576887,,5,media
-34.565604,-58.438572,PALERMO,2,baja
-34.649175,-58.609999,,3,baja
-34.581901,-58.497098,VILLA PUEYRREDON,2,baja
-34.621964,-58.531754,,2,baja
-34.60535,-58.431353,CABALLITO,1,baja
-34.571556,-58.432483,PALERMO,2,baja
-34.752754,-58.388284,,12,alta
-34.64204,-58.53323,,1,baja
-34.727669,-58.404474,,1,baja
-34.558296,-58.469445,NUÑEZ,2,baja
-34.765798,-58.380661,,1,baja
-34.636367,-58.433008,PARQUE CHACABUCO,2,baja
-34.620872,-58.433341,CABALLITO,3,baja
-34.637224,-58.45554,FLORES,3,baja
-34.426839,-58.822012,,3,baja
-34.628418,-58.426584,PARQUE CHACABUCO,10,alta
-34.503918,-58.535524,,2,baja
-34.532724,-58.509191,,2,baja
-34.612173,-58.466057,VILLA GRAL. MITRE,1,baja
-34.609552,-58.487875,VILLA DEL PARQUE,4,baja
-34.631246,-58.418451,BOEDO,2,baja
-34.656496,-58.358371,,1,baja
-34.564743,-58.44174,PALERMO,1,baja
-34.644422,-58.473736,PARQUE AVELLANEDA,2,baja
-34.629062,-58.430474,PARQUE CHACABUCO,3,baja
-34.603684,-58.381559,SAN NICOLAS,1,baja
-34.597752,-58.379508,RETIRO,3,baja
-34.733558,-58.341502,,2,baja
-34.590134,-58.411366,PALERMO,2,baja
-34.541296,-58.51225,,1,baja
-34.716071,-58.281869,,1,baja
-34.562961,-58.470615,COGHLAN,2,baja
-34.551381,-58.540689,,2,baja
-34.921863,-57.95127,,1,baja
-34.69372,-58.488589,,19,alta
-34.569337,-58.44275,PALERMO,4,baja
-34.53254,-58.47963,,2,baja
-34.600926,-58.436724,VILLA CRESPO,1,baja
-34.470553,-58.588814,,1,baja
-34.670568,-58.474413,VILLA LUGANO,2,baja
-34.500091,-58.581065,,2,baja
-34.747955,-58.403788,,8,media
-34.510825,-58.490457,,2,baja
-34.497427,-58.717163,,2,baja
-34.556153,-58.449062,BELGRANO,2,baja
-34.732477,-58.233315,,2,baja
-34.583502,-58.486238,PARQUE CHAS,3,baja
-34.684547,-58.671073,,2,baja
-34.574354,-58.528967,,15,alta
-34.742392,-58.256628,,1,baja
-34.5407,-58.544341,,2,baja
-34.781688,-58.289741,,5,media
-34.631258,-58.456021,FLORES,2,baja
-34.55982,-58.444548,BELGRANO,18,alta
-34.876863,-58.394611,,3,baja
-34.414176,-58.592383,,2,baja
-34.700967,-58.305796,,4,baja
-34.650472,-58.548536,,1,baja
-34.827389,-58.638756,,1,baja
-34.558356,-58.742717,,1,baja
-34.57876,-58.59415,,3,baja
-34.40958,-58.602851,,1,baja
-34.510828,-58.507463,,1,baja
-34.589801,-58.405909,RECOLETA,5,media
-34.584386,-58.451872,CHACARITA,4,baja
-34.648566,-58.610126,,2,baja
-34.610823,-58.405673,BALVANERA,1,baja
-34.539841,-58.48427,,1,baja
-34.713622,-58.268046,,2,baja
-34.30116,-58.769573,,2,baja
-34.494927,-58.614167,,3,baja
-34.643413,-58.389481,BARRACAS,1,baja
-34.61246,-58.484065,VILLA SANTA RITA,2,baja
-34.59586,-58.39296,RECOLETA,2,baja
-34.589969,-58.448795,CHACARITA,3,baja
-34.553743,-58.460641,NUÑEZ,1,baja
-34.60093,-58.43959,VILLA CRESPO,1,baja
-34.619727,-58.43207,CABALLITO,2,baja
-34.706159,-58.321644,,1,baja
-34.628118,-58.496055,VELEZ SARSFIELD,1,baja
-34.592055,-58.50799,VILLA DEVOTO,1,baja
-34.61801,-58.38423,CONSTITUCION,19,alta
-34.586105,-58.402654,RECOLETA,1,baja
-34.524369,-58.530803,,1,baja
-34.596474,-58.436214,VILLA CRESPO,2,baja
-34.582736,-58.433365,PALERMO,2,baja
-34.784008,-58.405484,,1,baja
-34.521198,-58.525541,,2,baja
-34.648043,-58.526052,LINIERS,1,baja
-34.589687,-58.402212,RECOLETA,7,media
-34.635508,-58.416924,BOEDO,2,baja
-34.618771,-58.445641,CABALLITO,1,baja
-34.62059,-58.43394,CABALLITO,1,baja
-34.676989,-58.559309,,2,baja
-34.614125,-58.39193,BALVANERA,2,baja
-34.631677,-58.480418,FLORESTA,3,baja
-34.662745,-58.578792,,1,baja
-34.61406,-58.435596,CABALLITO,2,baja
-34.885187,-58.039757,,3,baja
-34.565473,-58.472136,COGHLAN,2,baja
-34.903261,-57.981852,,1,baja
-34.631501,-58.437908,PARQUE CHACABUCO,14,alta
-34.637308,-58.70315,,1,baja
-34.614615,-58.773252,,1,baja
-34.838385,-58.494649,,14,alta
-34.579652,-58.483576,VILLA URQUIZA,1,baja
-34.933505,-57.961174,,1,baja
-34.806282,-58.38151,,3,baja
-34.647846,-58.521065,LINIERS,3,baja
-34.595096,-58.575018,,2,baja
-34.743536,-58.618539,,1,baja
-34.526092,-58.483162,,3,baja
-34.576608,-58.43737,PALERMO,1,baja
-34.465529,-58.660759,,1,baja
-34.78024,-58.6479,,3,baja
-34.619637,-58.507985,MONTE CASTRO,2,baja
-34.613285,-58.554003,,2,baja
-34.68831,-58.46043,VILLA LUGANO,1,baja
-34.597777,-58.485274,VILLA DEL PARQUE,1,baja
-34.529712,-58.579223,,2,baja
-34.682895,-58.777898,,1,baja
-34.856644,-58.099906,,1,baja
-34.686157,-58.463324,VILLA LUGANO,2,baja
-34.652909,-58.491772,MATADEROS,2,baja
-34.903276,-57.981914,,1,baja
-34.651396,-58.535961,,2,baja
-34.526195,-58.530303,,1,baja
-34.669522,-58.520317,,7,media
-34.578418,-58.510879,VILLA PUEYRREDON,1,baja
-34.420867,-58.748265,,2,baja
-34.629097,-58.367155,BOCA,2,baja
-34.535479,-58.524509,,2,baja
-34.594688,-58.446651,VILLA CRESPO,5,media
-34.651508,-58.518657,LINIERS,2,baja
-34.418917,-58.590723,,1,baja
-34.691807,-58.495926,,15,alta
-34.631833,-58.473183,FLORES,1,baja
-34.615561,-58.463401,FLORES,3,baja
-34.579515,-58.479146,PARQUE CHAS,11,alta
-34.823662,-58.2114,,1,baja
-34.592284,-58.437212,VILLA CRESPO,2,baja
-34.626683,-58.549429,,1,baja
-34.656516,-58.520752,MATADEROS,1,baja
-34.544897,-58.579951,,2,baja
-34.396922,-58.709878,,2,baja
-34.615713,-58.488534,VILLA SANTA RITA,1,baja
-34.499993,-58.540372,,3,baja
-34.400067,-58.640748,,1,baja
-34.553277,-58.47283,NUÑEZ,3,baja
-34.581672,-58.462924,VILLA ORTUZAR,2,baja
-34.605388,-58.387355,SAN NICOLAS,1,baja
-34.474223,-58.506948,,2,baja
-34.60687,-58.55613,,3,baja
-34.688992,-58.585044,,1,baja
-34.53757,-58.52671,,2,baja
-34.522851,-58.500578,,2,baja
-34.37472,-58.746547,,2,baja
-34.85765,-58.67119,,3,baja
